Title,Description,Publisher,Link,Published Time,processed_text
"As Nvidia flips Apple at $3.43T, AI coins follow suit with big gains!","Nvidia has surged to surpass Apple as the most valuable company in the world, hitting $3.43 trillion in market cap.",Ambcrypto.com,https://ambcrypto.com/as-nvidia-flips-apple-at-3-43t-ai-coins-follow-suit-with-big-gains/,06-11-2024 14:00,nvidia surged surpass apple valuable company world hitting trillion market cap
"How Trump’s Second Administration Affects Business: Musk, Tariffs and More","Donald Trump’s return to the White House after winning the Nov. 5 U.S. presidential election may reshape American business. Much depends on whom he appoints as deputies and cabinet members, including the role of Tesla CEO Elon Musk, and what …",Insurance Journal,https://www.insurancejournal.com/news/national/2024/11/06/800274.htm,06-11-2024 13:50,donald trump return white house winning nov u presidential election may reshape american business much depends appoints deputy cabinet member including role tesla ceo elon musk
Renegade '90s San Francisco parties sparked a multibillion-dollar industry,"""Between the Beats"" on Apple TV+ chronicles the early days of the San Francisco house music rave scene.",SFGate,https://www.sfgate.com/streaming/article/sf-rave-documentary-19887362.php,06-11-2024 12:42,beat apple tv chronicle early day san francisco house music rave scene
South Korea fined Meta $15.67M for illegally collecting and sharing Facebook users,"South Korea fined Meta $15.67M for illegally collecting and sharing Facebook users’ sensitive data, including political views and sexual orientation, with advertisers. South Korea’s data privacy watchdog, Personal Information Protection Commission (PIPC), fin…",Securityaffairs.com,https://securityaffairs.com/170618/digital-id/south-korea-fined-meta-15-67m.html,06-11-2024 12:00,south korea fined meta illegally collecting sharing facebook user sensitive data including political view sexual orientation advertiser south korea data privacy watchdog personal information protection commission pipc fin
Trump’s in. Here’s what it means for Europe.,"From energy and trade to finance and defense, here’s how Donald Trump’s second presidency will impact EU policy.",POLITICO.eu,https://www.politico.eu/article/donald-trump-washington-us-elections-win-2024-kamala-harris-europe-russia/,06-11-2024 10:44,energy trade finance defense here donald trump second presidency impact eu policy
Synology fixed critical flaw impacting millions of DiskStation and BeePhotos NAS devices,"Synology addressed a critical vulnerability in DiskStation and BeePhotos NAS devices that could lead to remote code execution. Taiwanese vendor Synology has addressed a critical security vulnerability, tracked as CVE-2024-10443, that impacts DiskStation and B…",Securityaffairs.com,https://securityaffairs.com/170602/hacking/synology-fixed-critical-bug-in-diskstation-and-beephotos-nas.html,06-11-2024 09:09,synology addressed critical vulnerability diskstation beephotos na device could lead remote code execution taiwanese vendor synology addressed critical security vulnerability tracked cve impact diskstation b
Dublin Airport set to exceed passenger cap this year,"The best news, analysis and comment from The Irish Times business desk",The Irish Times,https://www.irishtimes.com/business/2024/11/06/dublin-airport-set-to-exceed-passenger-cap-this-year/,06-11-2024 06:34,best news analysis comment irish time business desk
ETMarkets PMS Talk: Identifying 'Compounding Machines': Sundaram’s strategy for high growth stocks,"It’s not just last month, the strategy has seen a good turnaround in performance in the last 6 months and in the last 6 years, it has created high single-digit alpha over the Nifty50 index.",The Times of India,https://economictimes.indiatimes.com/markets/expert-view/etmarkets-pms-talk-identifying-compounding-machines-sundarams-strategy-for-high-growth-stocks/articleshow/114972156.cms,06-11-2024 03:30,last month strategy seen good turnaround performance last month last year created high singledigit alpha nifty index
Swiggy’s $1.3 Billion IPO May Face Lukewarm Retail Interest,Before the trading day starts we bring you a digest of the key news and events that are likely to move markets. Today we look at:,Financial Post,https://financialpost.com/pmn/business-pmn/swiggys-1-3-billion-ipo-may-face-lukewarm-retail-interest,06-11-2024 03:08,trading day start bring digest key news event likely move market today look
"Negative bias seen for Nifty, Sensex at open","Gift Nifty shows downward bias, volatility due to US election results; India isolated from global markets, market remains volatile.",BusinessLine,https://www.thehindubusinessline.com/markets/negative-bias-seen-for-nifty-sensex-at-open/article68835141.ece,06-11-2024 03:03,gift nifty show downward bias volatility due u election result india isolated global market market remains volatile
"‘Best Buy might payout more’: Shopper reveals how you can get Costco gift cards by trading in your old iPhone, iPad devices","In the technology age, it's no secret that many folks have made an investment into personal devices like laptops and tablets. 


Folks who might have an extra device or two laying around might wonder if they could quickly liquidate these small assets, which c…",The Daily Dot,https://www.dailydot.com/news/costco-gift-cards-for-old-iphones/,06-11-2024 03:00,technology age secret many folk made investment personal device like laptop tablet folk might extra device two laying around might wonder could quickly liquidate small asset c
