Title,Description,Publisher,Link,Published Time,processed_text
South Korea fined Meta $15.67M for illegally collecting and sharing Facebook users,"South Korea fined Meta $15.67M for illegally collecting and sharing Facebook users’ sensitive data, including political views and sexual orientation, with advertisers. South Korea’s data privacy watchdog, Personal Information Protection Commission (PIPC), fin…",Securityaffairs.com,https://securityaffairs.com/170618/digital-id/south-korea-fined-meta-15-67m.html,06-11-2024 12:00,south korea fined meta illegally collecting sharing facebook user sensitive data including political view sexual orientation advertiser south korea data privacy watchdog personal information protection commission pipc fin
"Lmcg Investments LLC Decreases Position in Meta Platforms, Inc. (NASDAQ:META)","Lmcg Investments LLC lowered its position in Meta Platforms, Inc. (NASDAQ:META – Free Report) by 1.3% in the third quarter, HoldingsChannel reports. The institutional investor owned 22,032 shares of the social networking company’s stock after selling 298 shar…",ETF Daily News,https://www.etfdailynews.com/2024/11/06/lmcg-investments-llc-decreases-position-in-meta-platforms-inc-nasdaqmeta/,06-11-2024 11:34,lmcg investment llc lowered position meta platform inc nasdaqmeta free report third quarter holdingschannel report institutional investor owned share social networking company stock selling shar
Tech leaders plan $800 Tel Aviv - New York return fares,"DemocraTech announced it is holding talks to operate an airline between Israel and the US between January and March, intending to open it up to the general public.",The Jerusalem Post,https://www.jpost.com/international/article-827810,06-11-2024 10:30,democratech announced holding talk operate airline israel u january march intending open general public
Synology fixed critical flaw impacting millions of DiskStation and BeePhotos NAS devices,"Synology addressed a critical vulnerability in DiskStation and BeePhotos NAS devices that could lead to remote code execution. Taiwanese vendor Synology has addressed a critical security vulnerability, tracked as CVE-2024-10443, that impacts DiskStation and B…",Securityaffairs.com,https://securityaffairs.com/170602/hacking/synology-fixed-critical-bug-in-diskstation-and-beephotos-nas.html,06-11-2024 09:09,synology addressed critical vulnerability diskstation beephotos na device could lead remote code execution taiwanese vendor synology addressed critical security vulnerability tracked cve impact diskstation b
DJT stock surges in premarket trading as Trump clinches election win,"It's set to be another volatile trading session for Trump Media & Technology Group (DJT), the home of Republican nominee Donald Trump's social media platform...",Yahoo Entertainment,https://finance.yahoo.com/news/djt-stock-surges-in-premarket-trading-as-trump-clinches-election-win-071432845.html,06-11-2024 07:14,set another volatile trading session trump medium technology group djt home republican nominee donald trump social medium platform
DJT stock jumps in after-hours trading as Trump gains election edge,"It's set to be another volatile trading session for Trump Media & Technology Group (DJT), the home of Republican nominee Donald Trump's social media platform...",Yahoo Entertainment,https://finance.yahoo.com/news/djt-stock-jumps-in-after-hours-trading-as-trump-gains-election-edge-071432307.html,06-11-2024 07:14,set another volatile trading session trump medium technology group djt home republican nominee donald trump social medium platform
Dublin Airport set to exceed passenger cap this year,"The best news, analysis and comment from The Irish Times business desk",The Irish Times,https://www.irishtimes.com/business/2024/11/06/dublin-airport-set-to-exceed-passenger-cap-this-year/,06-11-2024 06:34,best news analysis comment irish time business desk
ETMarkets PMS Talk: Identifying 'Compounding Machines': Sundaram’s strategy for high growth stocks,"It’s not just last month, the strategy has seen a good turnaround in performance in the last 6 months and in the last 6 years, it has created high single-digit alpha over the Nifty50 index.",The Times of India,https://economictimes.indiatimes.com/markets/expert-view/etmarkets-pms-talk-identifying-compounding-machines-sundarams-strategy-for-high-growth-stocks/articleshow/114972156.cms,06-11-2024 03:30,last month strategy seen good turnaround performance last month last year created high singledigit alpha nifty index
Company executives are speaking out on Election Day: Starbucks' Howard Schultz calls for a peaceful transition of power,"Business leaders including Howard Schultz, Elon Musk, and Reid Hoffman weigh in on Election Day for Donald Trump, Kamala Harris — or simply peace.",Business Insider,https://www.businessinsider.com/election-day-executives-speak-trump-harris-starbucks-meta-musk-2024-11,05-11-2024 22:01,business leader including howard schultz elon musk reid hoffman weigh election day donald trump kamala harris simply peace
"ToxicPanda Android banking trojan targets Europe and LATAM, with a focus on Italy","The ToxicPanda Android malware has infected over 1,500 devices, enabling attackers to perform fraudulent banking transactions. Cleafy researchers spotted a new Android banking malware, dubbed ToxicPanda, which already infected over 1,500 Android devices. The …",Securityaffairs.com,https://securityaffairs.com/170605/malware/toxicpanda-android-malware-targets-italy.html,05-11-2024 21:25,toxicpanda android malware infected device enabling attacker perform fraudulent banking transaction cleafy researcher spotted new android banking malware dubbed toxicpanda already infected android device
