Title,Description,Publisher,Link,Published Time,processed_text
Martha Stewart was America's first self-made female billionaire. Here's how she makes and spends her fortune.,"Martha Stewart lost her billionaire status following her stock-trading scandal, but she continues to live a lavish life.",Business Insider,https://www.businessinsider.com/martha-stewart-net-worth-makes-spends-her-millions,06-11-2024 15:37,martha stewart lost billionaire status following stocktrading scandal continues live lavish life
"Riot Games After 'Arcane,' Most Expensive Animated Series Ever","Riot Games' Hollywood ambitions were stymied by inexperience after the success of Netflix's 'Arcane,' which cost $250M over 18 episodes.",Variety,https://variety.com/2024/biz/news/riot-games-arcane-hollywood-netflix-most-expensive-animated-series-ever-1236196655/,06-11-2024 14:30,riot game hollywood ambition stymied inexperience success netflixs arcane cost episode
Earth 2 at 30: A look back at NBC’s big swing at sci-fi in the early ’90s,"A long-forgotten sci-fi series premiered on NBC 30 years ago this month, but it paved the way for some of the shows that came after it.",Digital Trends,https://www.digitaltrends.com/movies/earth-2-at-30-a-look-back-at-nbcs-big-swing-at-sci-fi-in-the-90s/,06-11-2024 13:30,longforgotten scifi series premiered nbc year ago month paved way show came
"Chloe Fineman, Patton Oswalt Join Pickleball Comedy 'The Dink'","Chloe Fineman, Patton Oswalt, John McEnroe, Aaron Chen, Martin Kove, Chris Parnell and Christine Taylor have joined the pickleball comedy 'The Dink'",Variety,https://variety.com/2024/film/news/chloe-fineman-patton-oswalt-john-mcenroe-join-pickleball-comedy-the-dink-1236200336/,04-11-2024 23:30,chloe fineman patton oswalt john mcenroe aaron chen martin kove chris parnell christine taylor joined pickleball comedy dink
"Compulsion: Neil Marshall psychological thriller unveils a first look image, secures Saban Films distribution","Neil Marshall and Charlotte Kirk have teamed up again for the erotic thriller Compulsion, which has just unveiled a first look image
The post Compulsion: Neil Marshall psychological thriller unveils a first look image, secures Saban Films distribution appeare…",JoBlo.com,https://www.joblo.com/compulsion-image/,04-11-2024 17:16,neil marshall charlotte kirk teamed erotic thriller compulsion unveiled first look image post compulsion neil marshall psychological thriller unveils first look image secures saban film distribution appeare
Newly minted unicorn: Jamie Beaton’s Crimson raises $68m at $1b valuation,'It's the single biggest cheque we've ever written.',New Zealand Herald,https://www.nzherald.co.nz/business/newly-minted-unicorn-jamie-beatons-crimson-raises-68-million-at-1-billion-valuation/OIZMZBWJIRAQXLKL3AFULGU3CA/,04-11-2024 16:00,single biggest cheque weve ever written
Ben Affleck & Matt Damon on Easy Decision to Team with Cillian Murphy (Exclusive),"Oscar winners Cillian Murphy, Ben Affleck and Matt Damon spoke to “Extra’s” Terri Seymour about “Small Things Like These,” their new film adaptation of the Claire Keegan novel. 
 Ben and Matt financed the film through their company Artists Equity, and Ben sha…",Extra,https://extratv.com/2024/11/04/ben-affleck-and-matt-damon-on-easy-decision-to-team-with-cillian-murphy-exclusive/,04-11-2024 15:30,oscar winner cillian murphy ben affleck matt damon spoke extra terri seymour small thing like new film adaptation claire keegan novel ben matt financed film company artist equity ben sha
"The Veterans Founders Vincent Maraval & Kim Fox, Coming Off $100M In Cannes Sales, Talk ‘Emilia Pérez’ Gamble, Movie Taste & What’s Next","EXCLUSIVE: It takes a certain kind of confidence to take a finished indie film to market with no presales, but if that completed film is a $24 million Spanish-language musical directed by a French auteur about a Mexican cartel leader that transitions from mal…",Deadline,http://deadline.com/2024/11/the-veterans-vincent-maraval-kim-fox-emilia-perez-gamble-movie-taste-whats-next-afm-cannes-1236163203/,04-11-2024 15:13,exclusive take certain kind confidence take finished indie film market presales completed film million spanishlanguage musical directed french auteur mexican cartel leader transition mal
"Why Companies Shoot in Spain, From Locations to Facilities, Muscular Incentives, Shows’ Concepts, Local Talent Pools and Because the Country Features in the Screenplay","Russell Crowe starrer “The Last Druid” must rate as one of the highest-profile projects being brought to market at this week’s American Film Market. Its partners – Range Media Partners, Spain’s Nostromo, CAA Media Finance and AGC International – are aiming to…",Variety,https://variety.com/2024/film/global/russell-crowe-norman-reedus-guy-ritchie-tom-hardy-1236199515/,04-11-2024 14:27,russell crowe starrer last druid must rate one highestprofile project brought market week american film market partner range medium partner spain nostromo caa medium finance agc international aiming
"Earnings call: Swisscom reports stable Q3 with focus on B2B growth, 5G","Earnings call: Swisscom reports stable Q3 with focus on B2B growth, 5G",Investing.com,https://www.investing.com/news/stock-market-news/earnings-call-swisscom-reports-stable-q3-with-focus-on-b2b-growth-5g-93CH-3698755,04-11-2024 08:00,earnings call swisscom report stable q focus bb growth g
